Tag,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
fingers,1382,644,1267,2178,2596,2635,4775,5662,6841,18887,30981,35801,42986,62506,70996,81579,88929,102748
white_fur,1387,932,2619,3961,4674,6843,14658,15980,21125,30446,34366,32117,35736,50830,65627,84443,89982,99555
claws,1410,1424,3306,4578,6132,9069,15526,15677,20581,28529,34647,37222,37684,50958,64142,85765,91172,97725
male/male,1398,982,2851,5634,7171,9968,16133,16660,23121,30270,31658,33866,35410,49083,64944,79628,87796,97438
mythology,1310,964,3008,5649,14876,20783,34676,34202,40245,48940,51320,53407,49011,58991,74338,90316,90850,96787
anus,867,878,2908,4522,6068,10236,17970,21574,29061,36129,40364,42343,41473,50944,66238,83925,88965,94771
tuft,1313,1115,2678,3320,3941,5053,6476,7612,10999,19457,23592,24435,26215,42983,57056,82232,87114,93989
humanoid_genitalia,1854,1062,2703,4923,5520,8023,14201,15233,22192,31635,36629,35619,41783,48722,57677,69797,77468,91315
mythological_creature,1198,899,2772,5271,14399,20184,33905,33280,38777,46853,49548,51463,46712,55601,70046,85341,85915,90874
feline,2023,1295,3729,5430,6785,7262,10070,10304,16119,20349,24692,26094,35023,45457,56485,70730,79463,90626
big_butt,77,81,237,448,923,2048,4010,5079,7936,12952,17308,20206,23406,34372,50512,69906,77226,90375
tongue_out,1249,995,2874,4524,6510,9830,16701,19137,27819,36699,41929,43389,42697,55560,69302,86863,92603,90002
humanoid,1481,758,2891,3359,4678,5823,8988,10629,17973,25249,28803,35396,35469,51935,60901,76143,83888,88812
biped,2865,2154,4480,6566,8485,10430,17307,20606,26233,37040,39551,41066,44418,25701,36012,44147,58882,87779
areola,452,262,550,980,1132,2501,6453,9051,17735,25061,28569,25479,25949,34231,49285,77993,78967,86263
feral,733,878,3466,6623,16090,21185,33695,31343,36762,51499,46855,47898,44345,53831,63813,80076,84640,85924
pokemon,267,668,2531,4635,7090,7399,14245,20794,24474,33583,33990,40133,44959,48305,59801,84756,85650,84900
pokemon_(species),263,664,2449,4573,6958,7225,14079,20606,24233,33237,33684,39863,44634,47892,59380,84219,85095,84009
bottomwear,1208,865,1863,3583,4568,5653,8234,8636,12560,18258,21447,23234,26778,42668,52533,67532,77503,83139
muscular,870,502,2444,3819,5000,9723,16580,13078,16210,23209,31007,31513,32009,41660,57372,67418,76656,82779
piercing,2025,1172,2429,4330,5263,7316,10429,11025,15548,21353,23661,24418,24527,35080,48195,65858,75113,82705
markings,1424,1126,2865,3718,5109,6262,8368,7148,8992,16572,21486,24846,25048,37627,47229,68458,76340,81414
humanoid_penis,1786,1008,2555,4812,5386,7820,13903,14888,21595,30833,35591,34189,39968,44879,51963,62163,69926,81308
animal_genitalia,1141,750,1933,4712,4306,6902,14397,18791,25891,34459,36938,39105,38506,46001,57134,70910,75929,79989
navel,1114,740,1695,2617,3750,5135,9470,13313,18905,28411,31012,33444,34673,43785,56678,72885,75749,79012
brown_body,853,583,1600,2459,2729,5293,10479,9394,15263,20125,21611,22523,23888,41609,54601,66689,73960,78265
blue_eyes,1078,1086,3413,5346,8989,13362,21727,21783,27415,34973,37641,38985,38721,48855,58165,72788,77236,75767
group,1267,828,3455,6310,8812,10356,15813,17025,24433,30670,31951,32944,32346,44047,52887,66206,70548,74636
toes,1126,671,1626,2650,3234,6322,10354,10214,12324,21592,28377,31806,37186,49956,55730,64777,66627,73524
big_penis,432,241,926,2013,2201,4876,8255,7707,10059,14211,20730,23427,22572,32969,45921,61750,68514,72548
standing,1453,1172,3020,3845,5331,6664,13807,15254,15918,31185,37713,42562,37705,43104,50083,59676,60775,71987
male_penetrating,1468,1214,3970,6691,9323,12760,20512,22609,31439,32067,36464,39155,44537,55493,65151,68177,70764,71230
sweat,414,421,1189,1231,1702,3043,4767,6803,10414,14034,18239,20842,21815,31377,41835,55349,59887,70101
anal,1083,884,2801,5104,6525,9242,15663,16708,23649,28248,30845,32897,32745,40751,50786,61272,65723,69392
size_difference,593,434,1476,2565,3462,4285,7533,8949,14304,20208,22025,23214,24172,32599,43718,57478,64460,68895
1:1,901,753,1796,3497,5658,7069,11372,13001,17002,22689,25080,27034,28090,36223,44492,58934,61697,68885
black_body,681,451,1330,2435,2688,4335,9159,8652,12003,17336,19912,20773,22660,35178,43986,58419,61830,68540
multicolored_body,943,694,1110,1415,1388,1785,3107,3127,7607,15232,20630,22291,19567,32564,43198,58072,59335,68295
human,976,903,2555,5439,8457,9241,13821,16466,23210,27151,25539,27857,27718,37123,49815,63197,66985,67861
lying,861,947,2814,4473,5962,8078,15597,16135,19550,27534,28811,29643,28239,38083,46765,58242,60234,66189
cum_inside,870,748,2162,3840,5507,8618,14041,15777,22864,28313,31425,31240,30467,38327,49369,60947,63608,65783
narrowed_eyes,373,234,767,1210,1349,1900,4129,8068,12587,18067,19385,20155,19217,26019,33927,53616,65193,65688
shirt,894,564,1216,2132,2944,3782,6116,6547,9430,15446,17355,20110,22310,36877,43812,52735,59608,65622
grey_body,691,431,985,1703,2416,3941,7823,7102,9745,15416,16180,15352,16281,29501,38886,53275,62014,64751
wide_hips,339,391,927,851,1442,2467,4227,5834,9683,15751,19175,21215,21508,28650,40216,56648,57117,64118
huge_breasts,190,141,505,1749,2054,3391,4704,5351,11149,17085,18749,23400,24351,31851,44403,56142,60832,63385
blue_body,517,525,1612,2499,5369,7607,13042,13732,16623,17870,18519,19500,19623,31471,41774,54978,60103,63318
penile_penetration,611,516,1636,2444,3363,4575,6553,7172,10556,13230,16432,18580,19675,33909,41015,49202,57311,62727
eyebrows,506,329,547,758,821,973,1446,2112,3176,7730,12463,14577,14576,23596,31034,44173,53227,62607
speech_bubble,423,205,573,738,917,1113,1587,1787,4195,10477,11707,13140,13609,21213,28051,41069,52010,62378
domestic_dog,860,824,2383,5194,6291,7717,10364,11817,15591,19168,21765,24489,26168,37386,44228,53602,57284,62214
eyelashes,246,106,392,497,843,970,1976,4303,4948,10390,18351,20976,18877,23443,30372,45720,51343,61156
heart_symbol,599,426,1319,2092,3763,4563,7483,9201,12896,18569,22270,26292,26934,35721,47141,59341,61811,60715
fox,1605,1635,4018,6712,6630,7394,10516,12800,18577,34038,30473,26953,28505,38254,42896,54353,57395,60598
vaginal,925,937,3830,5945,8107,10498,15575,17221,23927,27418,30880,30663,30947,39463,47656,59057,59361,60003
underwear,819,781,2206,3387,4501,6551,9934,12194,17257,22850,25855,27870,28239,38760,45755,54533,56605,59840
mythological_scalie,943,640,2309,4341,6310,7253,11668,12087,16909,23490,26617,30675,29847,33014,42818,51866,52874,59730
felis,1518,926,2537,3871,5002,5433,7289,7741,12232,14300,18150,19046,19360,27820,36610,46622,52329,59685
dragon,942,638,2301,4335,6300,7242,11635,12073,16899,23446,26589,30637,29810,32941,42720,51810,52809,59226
spreading,812,949,2612,3965,5783,7814,14976,14850,19644,26467,29478,28305,24573,31672,41639,53636,52068,58550
brown_fur,762,506,1442,2204,2258,4601,9138,8236,13789,18126,19122,19397,21398,36059,44234,49918,56212,58420
domestic_cat,1514,918,2525,3861,4989,5376,7262,7643,12081,14095,17803,18876,18894,27165,35680,45508,51054,58271
muscular_male,549,298,1377,1981,2255,5033,8571,5702,7267,13323,20179,22598,23165,29839,40898,46042,54645,58157
furniture,769,733,1926,3263,4290,6194,9781,10574,14750,20719,21025,21447,21081,31532,40083,48728,54131,58050
plant,717,642,1865,3407,5544,6623,10050,10409,12862,20476,21302,22345,22885,31186,38443,49433,53918,57997
headgear,477,355,1058,2097,4998,6952,10956,10337,12135,15947,17448,19462,18584,26523,33623,46943,51305,57877
wolf,1118,788,2519,5332,5573,7377,10390,9862,12621,17458,19804,19612,21569,31721,40111,52645,56085,57423
digital_drawing_(artwork),219,151,472,833,934,1145,1718,1973,3126,4053,6570,16276,8940,13955,19604,24319,39159,57186
